cust_id,avg_wait_time_sec
CUST_0001,53.5
CUST_0002,40.333333333333336
CUST_0003,69.83333333333333
CUST_0004,51.0
CUST_0005,53.5
CUST_0006,24.0
CUST_0007,63.666666666666664
CUST_0008,70.5
CUST_0009,57.0
CUST_0010,62.25
CUST_0011,60.5
CUST_0012,68.5
CUST_0013,43.25
CUST_0014,25.0
CUST_0015,51.42857142857143
CUST_0016,43.6
CUST_0017,37.0
CUST_0018,38.75
CUST_0019,50.6
CUST_0020,15.0
CUST_0021,76.6
CUST_0022,63.2
CUST_0023,53.75
CUST_0024,59.5
CUST_0025,39.22222222222222
CUST_0026,50.25
CUST_0027,64.83333333333333
CUST_0028,52.75
CUST_0029,64.5
CUST_0030,53.375
CUST_0031,51.285714285714285
CUST_0032,45.875
CUST_0033,44.6
CUST_0034,59.75
CUST_0035,48.0
CUST_0036,52.625
CUST_0037,62.0
CUST_0038,59.333333333333336
CUST_0039,39.75
CUST_0040,48.125
CUST_0041,63.888888888888886
CUST_0043,64.5
CUST_0044,64.0
CUST_0045,55.75
CUST_0046,45.666666666666664
CUST_0047,46.0
CUST_0048,58.0
CUST_0049,54.5
CUST_0050,58.0
CUST_0051,42.666666666666664
CUST_0052,72.0
CUST_0053,48.5
CUST_0054,22.0
CUST_0055,49.0
CUST_0056,66.0
CUST_0057,42.0
CUST_0058,46.5
CUST_0059,13.333333333333334
CUST_0060,58.42857142857143
CUST_0061,38.5
CUST_0062,83.4
CUST_0063,50.77777777777778
CUST_0064,53.5
CUST_0065,36.5
CUST_0066,61.0
CUST_0067,34.2
CUST_0068,61.4
CUST_0069,32.4
CUST_0070,43.714285714285715
CUST_0071,64.5
CUST_0072,63.333333333333336
CUST_0073,42.0
CUST_0074,30.428571428571427
CUST_0075,81.33333333333333
CUST_0076,59.0
CUST_0077,64.5
CUST_0078,56.0
CUST_0079,64.25
CUST_0080,40.857142857142854
CUST_0081,57.72727272727273
CUST_0082,45.857142857142854
CUST_0083,65.85714285714286
CUST_0084,45.25
CUST_0085,69.0
CUST_0086,16.0
CUST_0087,23.666666666666668
CUST_0088,29.22222222222222
CUST_0089,59.5
CUST_0090,40.666666666666664
CUST_0091,62.2
CUST_0092,12.0
CUST_0093,59.166666666666664
CUST_0094,50.0
CUST_0095,61.8
CUST_0096,49.714285714285715
CUST_0097,80.0
CUST_0098,60.5
